排名,学校名称,省市,学校类型,总得分
524,郑州工程技术学院,河南,理工,72.1 
525,济宁医学院,山东,医药,
526,河北环境工程学院,河北,综合,71.8 
527,山东青年政治学院,山东,综合,71.7 
527,重庆警察学院,重庆,政法,
528,晋中学院,山西,师范,71.6 
528,绥化学院,黑龙江,综合,71.6 
529,右江民族医学院,广西,医药,
530,安康学院,陕西,综合,71.3 
530,文山学院,云南,师范,71.3 
530,西藏藏医药大学,西藏,医药,
531,广西财经学院,广西,财经,
532,运城学院,山西,师范,71.1 
532,赣南医学院,江西,医药,
533,陇东学院,甘肃,师范,70.2 
534,景德镇学院,江西,综合,70.1 
534,四川警察学院,四川,政法,
535,滇西科技师范学院,云南,师范,69.8 
536,长沙师范学院,湖南,师范,69.7 
537,兰州工业学院,甘肃,理工,69.6 
537,哈尔滨体育学院,黑龙江,体育,
537,河南警察学院,河南,政法,
538,济宁学院,山东,师范,69.2 
539,琼台师范学院,海南,师范,69.0 
539,广东警官学院,广东,政法,
540,山东女子学院,山东,综合,68.9 
540,陕西学前师范学院,陕西,师范,68.9 
542,豫章师范学院,江西,师范,68.6 
543,昭通学院,云南,师范,68.5 
544,河南工学院,河南,理工,68.4 
545,新疆理工学院,新疆,综合,68.0 
545,齐齐哈尔医学院,黑龙江,医药,
546,汉江师范学院,湖北,师范,67.8 
546,福建江夏学院,福建,财经,
547,菏泽学院,山东,综合,67.1 
548,新疆工程学院,新疆,理工,66.6 
549,昌吉学院,新疆,师范,66.5 
550,鄂尔多斯应用技术学院,内蒙古,综合,65.8 
550,萍乡学院,江西,综合,65.8 
550,山西能源学院,山西,综合,65.8 
553,河套学院,内蒙古,综合,65.7 
553,吉林体育学院,吉林,体育,
554,福建技术师范学院,福建,师范,65.5 
555,黑龙江工业学院,黑龙江,理工,65.4 
556,兰州文理学院,甘肃,综合,65.1 
557,长治学院,山西,师范,64.9 
558,山东管理学院,山东,综合,64.1 
559,集宁师范学院,内蒙古,师范,64.0 
559,吕梁学院,山西,师范,64.0 
561,山西工程技术学院,山西,理工,63.6 
562,甘肃民族师范学院,甘肃,师范,63.0 
562,西安医学院,陕西,医药,
563,山东农业工程学院,山东,综合,62.6 
564,西安航空学院,陕西,理工,62.4 
565,太原学院,山西,理工,60.0 
566,亳州学院,安徽,师范,58.9 
566,湖北警官学院,湖北,政法,
567,首钢工学院,北京,理工,55.9 
577,南京森林警察学院,江苏,政法,
588,云南警官学院,云南,政法,
593,内蒙古科技大学包头医学院,内蒙古,医药,
596,武汉商学院,湖北,财经,
600+,北京警察学院,北京,政法,
600+,长治医学院,山西,医药,
600+,福建警察学院,福建,政法,
600+,广西警察学院,广西,政法,
600+,贵州警察学院,贵州,政法,
600+,贵州商学院,贵州,财经,
600+,哈尔滨金融学院,黑龙江,财经,
600+,河北体育学院,河北,体育,
600+,河南财政金融学院,河南,财经,
600+,呼和浩特民族学院,内蒙古,语言,
600+,湖南财政经济学院,湖南,财经,
600+,湖南警察学院,湖南,政法,
600+,湖南女子学院,湖南,语言,
600+,湖南医药学院,湖南,医药,
600+,吉林工商学院,吉林,财经,
600+,吉林警察学院,吉林,政法,
600+,吉林医药学院,吉林,医药,
600+,江西警察学院,江西,政法,
600+,辽宁警察学院,辽宁,政法,
600+,山东警察学院,山东,政法,
600+,山东政法学院,山东,政法,
600+,山西警察学院,山西,政法,
600+,铁道警察学院,河南,政法,
600+,铜陵学院,安徽,财经,
600+,西安体育学院,陕西,体育,
600+,新疆警察学院,新疆,政法,
600+,新疆科技学院,新疆,财经,
600+,浙江警察学院,浙江,政法,
600+,中国人民警察大学,河北,政法,
600+,中央司法警官学院,河北,政法,
